label,source,age,n_interests,n_projects,interests,subject_1_name,subject_1_score,subject_2_name,subject_2_score,subject_3_name,subject_3_score,subject_4_name,subject_4_score,subject_5_name,subject_5_score,project_title,project_skills,archetype,base_ability
WT,synthetic,21,2,1,Mobile & IoT Development|Cloud & Distributed Systems,Computer Networks,99.7,Microcontroller & Embedded Systems,93.6,IoT,92.3,C++,82.2,Engineering Mathematics-III,78.6,Health Monitoring Wearable,rfid|zigbee|mqtt|bluetooth|microcontroller|esp32,strong,76.9
DWM,synthetic,22,3,4,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems,Engineering Mathematics-IV,100.0,Data Structures and Algorithms,100.0,Database Management Systems,100.0,Digital Logic & Design,100.0,Python,100.0,Business Intelligence Portal,devops|postgresql|tableau|mongodb|power bi|data warehouse|sql|mysql,topper,96.9
ML,synthetic,21,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Artificial Intelligence,89.0,Python,73.8,Engineering Mathematics-III,70.7,Automata Theory,63.8,Design & Analysis of Algorithms,63.5,Fraud Detection System,data science|sklearn|nlp|regression|pytorch|classification|python|numpy,average,54.6
WT,synthetic,22,3,1,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Microcontroller & Embedded Systems,73.8,C++,73.4,Computer Networks,70.1,Digital Logic & Design,62.0,Design & Analysis of Algorithms,60.6,RFID Attendance System,embedded|sensor|lora|mqtt|gpio|wireless,average,55.0
WT,synthetic,21,3,3,Mobile & IoT Development|Web Development|Network & Wireless Systems,IoT,70.4,Computer Networks,62.6,Microcontroller & Embedded Systems,58.1,Operating Systems,56.0,Data Structures and Algorithms,52.0,BLE Beacon Tracker,devops|ci/cd|iot|freertos|jenkins|i2c|serverless|react,hard_sample,42.5
ML,synthetic,21,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Data Structures and Algorithms,78.8,Artificial Intelligence,78.0,Automata Theory,74.8,Digital Logic & Design,74.4,Python,70.3,Disease Diagnosis Tool,sklearn|neural network|regression|deep learning|opencv|python|numpy|computer vision,hard_sample,64.9
WT,synthetic,18,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Data Structures and Algorithms,86.9,Cryptography & Network Security,75.2,C++,72.7,IoT,70.3,Digital Logic & Design,69.7,Remote Water Quality Monitor,devops|rfid|embedded|ci/cd|raspberry pi|sensor|mqtt|bluetooth,hard_sample,61.1
DWM,synthetic,18,4,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems|Web Development,Database Management Systems,70.0,Engineering Mathematics-IV,69.6,Java,58.2,Data Structures and Algorithms,54.5,Automata Theory,49.2,Healthcare Data Warehouse,postgresql|data warehouse|power bi|mongodb|sql|data visualization|spark|pandas,hard_sample,46.8
CCS,synthetic,20,2,2,Cloud & Distributed Systems|Data Science & Analytics,Software Engineering,47.7,IoT,47.2,Full Stack Development,42.7,Data Structures and Algorithms,39.5,Cryptography & Network Security,38.1,Portfolio Website Builder,devops|ci/cd|docker|node|serverless|kubernetes|react|aws,struggling,28.8
DWM,synthetic,20,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Database Management Systems,93.7,Engineering Mathematics-IV,93.0,Automata Theory,90.3,Python,87.9,Data Structures and Algorithms,87.5,Business Intelligence Portal,postgresql|tableau|mongodb|power bi|mysql|sql|data visualization|hadoop,topper,80.2
ML,synthetic,21,2,2,Data Science & Analytics|Cloud & Distributed Systems,Artificial Intelligence,95.1,Engineering Mathematics-III,91.7,Data Structures and Algorithms,84.3,Python,83.0,Database Management Systems,80.7,Sentiment Analysis Tool,sklearn|numpy|nlp|regression|classification|opencv|python|jupyter,strong,75.8
CCS,synthetic,21,3,3,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,79.1,Automata Theory,74.5,Computer Networks,72.4,Python,71.1,Operating Systems,69.8,Serverless API Gateway,devops|rest api|fullstack|react|serverless|kubernetes|arduino|cloud,above_avg,62.7
DWM,synthetic,19,3,1,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Database Management Systems,79.3,C++,74.0,Engineering Mathematics-III,73.7,Java,73.3,Automata Theory,72.8,ETL Automation Tool,mysql|sql|data warehouse|analytics,above_avg,64.6
WT,synthetic,18,3,4,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Computer Networks,74.6,IoT,71.9,Python,64.4,Microcontroller & Embedded Systems,62.8,Digital Logic & Design,62.6,Wireless Sensor Network,embedded|raspberry pi|iot|freertos|arduino|mqtt|bluetooth|zigbee,average,52.2
WT,synthetic,20,2,2,Mobile & IoT Development|Network & Wireless Systems,IoT,72.8,Java,70.3,Digital Logic & Design,65.3,Data Structures and Algorithms,63.9,Cryptography & Network Security,59.9,Wireless Sensor Network,embedded|fullstack|iot|kubernetes|serverless|wireless|rest api|esp32,hard_sample,43.4
DWM,synthetic,22,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Database Management Systems,83.7,Engineering Mathematics-IV,75.9,Data Structures and Algorithms,67.7,Artificial Intelligence,67.4,Software Engineering,67.2,Social Media Analytics,postgresql|data warehouse|power bi|mysql|sql|data visualization|analytics|spark,above_avg,59.7
WT,synthetic,19,3,4,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,IoT,82.3,Operating Systems,77.9,Cryptography & Network Security,70.4,Computer Networks,62.6,Java,62.6,Smart Agriculture,raspberry pi|iot|sensor|freertos|arduino|lora|classification|mqtt,inconsistent,49.5
CCS,synthetic,19,2,2,Cloud & Distributed Systems|Web Development,Full Stack Development,82.8,Computer Networks,74.0,Engineering Mathematics-IV,66.4,C++,65.5,Microcontroller & Embedded Systems,65.4,Real-Time Chat Application,devops|rfid|ci/cd|fullstack|node|react|microservices|nginx,hard_sample,51.6
DWM,synthetic,21,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Artificial Intelligence,70.7,Java,68.2,Engineering Mathematics-IV,68.0,Automata Theory,67.6,Data Structures and Algorithms,65.8,Market Basket Analyzer,postgresql|mongodb|data warehouse|mysql|data visualization|hadoop|spark|pandas,above_avg,55.2
CCS,synthetic,20,2,2,Web Development|Network & Wireless Systems,Database Management Systems,100.0,Operating Systems,100.0,Computer Networks,100.0,Software Engineering,100.0,Full Stack Development,100.0,Service Mesh Dashboard,docker|ci/cd|fullstack|kubernetes|react|cloud|terraform|microservices,topper,95.3
